row,col,lon_center,lat_center,vlm_mm_yr,observable_count,observable_fraction,any_observable,majority_observable,not_majority_observable,strong_sub_5mm,population_weighted,population_cover_fraction,builtup_m2_weighted,builtup_cover_fraction
80,43,100.11958293914998,14.645416796457962,-10.33215711102683,28,1.0,1,1,0,1,108.47301735538097,1.0000000000001505,19316.040957285255,1.0000000000001505
80,44,100.12791627244998,14.645416796457962,-8.722123594071205,28,1.0,1,1,0,1,173.6655347565575,1.0000000000001505,46945.917043633024,1.0000000000001508
80,45,100.13624960574998,14.645416796457962,-9.16708336388372,28,1.0,1,1,0,1,141.85460189280366,1.0000000000001505,19779.09411444078,1.0000000000001505
80,46,100.14458293904998,14.645416796457962,-8.951704347099534,28,1.0,1,1,0,1,720.8057523783489,1.0000000000018558,104300.74482011922,1.0000000000018558
80,47,100.15291627234998,14.645416796457962,-6.9339545508575995,28,1.0,1,1,0,1,456.99893261586556,1.0000000000001505,95686.03221243178,1.0000000000001503
80,48,100.16124960564999,14.645416796457962,-8.08817641447356,28,1.0,1,1,0,1,261.1971826953809,1.0000000000001505,58786.0459666662,1.0000000000001505
80,49,100.16958293894999,14.645416796457962,-7.059940359360924,28,1.0,1,1,0,1,134.2071359143161,1.0000000000001505,19620.10149956226,1.0000000000001505
80,50,100.17791627224999,14.645416796457962,-6.923535637075994,28,1.0,1,1,0,1,80.072075773263,1.0000000000001503,21849.005344887464,1.0000000000001505
80,51,100.18624960554997,14.645416796457962,-7.558980666648562,28,1.0,1,1,0,1,114.1491423391518,1.0000000000001505,27069.98920213992,1.0000000000001505
80,52,100.19458293884998,14.645416796457962,-7.987678671592996,28,1.0,1,1,0,1,87.91532080648031,1.0000000000001503,11802.027954564506,1.0000000000001505
80,53,100.20291627214998,14.645416796457962,-8.33604272275532,28,1.0,1,1,0,1,132.86761081815553,1.0000000000001505,25517.997481773422,1.0000000000001503
80,54,100.21124960544998,14.645416796457962,-7.994874706651032,28,1.0,1,1,0,1,106.93709577406658,1.0000000000001503,34817.97496156062,1.0000000000001505
80,55,100.21958293874998,14.645416796457962,-5.503325724046137,28,1.0,1,1,0,1,122.11989574492998,1.0000000000001505,12643.075188349223,1.0000000000001503
80,56,100.22791627204998,14.645416796457962,-6.078272342622233,28,1.0,1,1,0,1,118.28977030038085,1.0000000000018558,41839.88947706136,1.0000000000018558
80,57,100.23624960534998,14.645416796457962,-7.210601394427294,28,1.0,1,1,0,1,84.88568160880226,1.0000000000001505,19117.08499598788,1.0000000000001503
80,58,100.24458293864998,14.645416796457962,-5.707552003557722,28,1.0,1,1,0,1,130.57650478523877,1.0000000000001505,30292.954889122568,1.0000000000001505
80,59,100.25291627194999,14.645416796457962,-7.061274978849566,28,1.0,1,1,0,1,152.82000012176525,1.0000000000001505,29855.058290438858,1.0000000000001505
80,60,100.26124960524999,14.645416796457962,-7.225067942523655,28,1.0,1,1,0,1,127.6546580073231,1.0000000000001503,35060.96144143582,1.0000000000001505
80,61,100.26958293854999,14.645416796457962,-7.732451861213234,28,1.0,1,1,0,1,26.883984815036808,1.0000000000001505,2388.1040570083055,1.0000000000001505
80,64,100.29458293844998,14.645416796457962,-7.2887888585298555,28,1.0,1,1,0,1,398.22010141540545,1.0000000000001505,95318.71204727354,1.0000000000001505
80,65,100.30291627174998,14.645416796457962,-5.96950215259533,28,1.0,1,1,0,1,134.4883117148166,1.0000000000001503,24071.27068719447,1.0000000000001505
80,66,100.31124960504998,14.645416796457962,-5.371155723496227,28,1.0,1,1,0,1,12.83459076466182,1.0000000000001505,280.15564143438763,1.0000000000001505
80,67,100.31958293834998,14.645416796457962,-4.970630254119066,28,1.0,1,1,0,0,17.387688337938624,1.0000000000018556,2614.1254043424933,1.0000000000018556
81,28,99.99458293964999,14.637083463158126,-10.762674623216114,28,1.0,1,1,0,1,313.8688815466978,1.0000000000001505,86181.83983053805,1.0000000000001503
81,29,100.00291627294997,14.637083463158126,-13.446010977300505,28,1.0,1,1,0,1,231.1689489924763,1.0000000000001505,53500.03933146903,1.0000000000001505
81,30,100.01124960624998,14.637083463158126,-13.777225947501691,28,1.0,1,1,0,1,579.062387566842,1.0000000000001505,99369.88618947924,1.0000000000001505
81,31,100.01958293954998,14.637083463158126,-12.660588123435733,28,1.0,1,1,0,1,699.5372252804888,1.0000000000001505,100388.03258162645,1.0000000000001505
81,32,100.02791627284998,14.637083463158126,-13.813865775390742,28,1.0,1,1,0,1,307.134839435075,1.0000000000001505,45288.187015452095,1.0000000000001505
81,33,100.03624960614998,14.637083463158126,-14.044493145479592,28,1.0,1,1,0,1,136.26188290366275,1.0000000000001505,29613.075244200867,1.0000000000001505
81,34,100.04458293944998,14.637083463158126,-12.713764713885087,28,1.0,1,1,0,1,114.08648688674474,1.0000000000001505,29146.989373806442,1.0000000000001505
81,35,100.05291627274998,14.637083463158126,-11.479390283977889,28,1.0,1,1,0,1,67.20191588163102,1.0000000000018558,20186.022407844725,1.0000000000018558
81,36,100.06124960604998,14.637083463158126,-11.358472126447438,28,1.0,1,1,0,1,44.817231567127685,1.0000000000001503,3611.0581273443418,1.0000000000001505
81,37,100.06958293934998,14.637083463158126,-11.753381832161603,28,1.0,1,1,0,1,118.17778277035998,1.0000000000001505,38465.86517017214,1.0000000000001505
81,38,100.07791627264999,14.637083463158126,-10.931063703304066,28,1.0,1,1,0,1,87.04009513424766,1.0000000000001505,11860.1261902168,1.0000000000001505
